Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Domestic & Industrial Water Supply,Projected demand for Domestic and Industrial uses upto 2025,Net Current Ground Water Availability,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,17,Karnataka,Davanagere,61215,2800,4236,55952,11840,89
1,India,17,Karnataka,Dharwad,27151,917,1524,21745,8549,59
1,India,17,Karnataka,Gadag,27127,1577,2011,24957,5581,89
1,India,17,Karnataka,Gulbarga,69295,3374,4609,63299,42025,32
1,India,17,Karnataka,Hassan,82020,2347,3486,73593,38414,55
1,India,17,Karnataka,Haveri,58188,2680,3734,53154,18465,64
1,India,17,Karnataka,Kodagu,32328,433,617,27441,21373,21
1,India,17,Karnataka,Kolar,33889,1757,1757,31828,0,187
1,India,17,Karnataka,Koppal,60093,1590,2533,54352,31181,43
1,India,17,Karnataka,Mandya,104395,2043,3470,94103,52536,47
1,India,17,Karnataka,Mysore,63391,2043,3634,57803,32178,43
1,India,17,Karnataka,Raichur,92116,2207,3483,83209,57628,31
1,India,17,Karnataka,Ramanagara,24087,4527,4779,22298,749,108
1,India,17,Karnataka,Shimoga,108216,1962,2856,92549,66378,27
1,India,17,Karnataka,Tumkur,85428,4488,6596,78424,15495,100
1,India,17,Karnataka,Udupi,53834,2393,2888,32775,20241,37
1,India,17,Karnataka,Uttara kannada,83421,2752,3256,52905,32780,37
1,India,17,Karnataka,Yadgir,41666,1607,2499,38050,26500,28
1,India,18,Kerala,Alappuzha,48646,10040,10372,45290,31927,29
1,India,18,Kerala,Ernakulam,64499,13931,15296,58327,32722,42
1,India,18,Kerala,Idukki,21838,5496,5985,19655,10796,43
1,India,18,Kerala,Kannur,53232,10939,11932,48013,25137,46
1,India,18,Kerala,Kasaragod,36544,6775,7798,32889,8387,71
1,India,18,Kerala,Kollam,46756,11933,13016,42221,25190,38
1,India,18,Kerala,Kottayam,49182,9214,10704,44570,30375,29
1,India,18,Kerala,Kozhikode,37904,14024,15793,34462,13469,56
1,India,18,Kerala,Malappuram,54531,20235,24392,49555,16996,57
1,India,18,Kerala,Palakkad,85814,13151,14197,78383,28894,62
1,India,18,Kerala,Pathanamthitta,27918,6004,6304,25302,15534,37
1,India,18,Kerala,Thiruvananthapuram,35596,13316,14699,32871,14187,53
1,India,18,Kerala,Thrissur,75505,13720,15216,68153,30769,53
1,India,18,Kerala,Wayanad,30675,4319,4816,27607,22139,18
1,India,20,Madhya Pradesh,Alirajpur,21648,2162,2951,20565,13813,29
1,India,20,Madhya Pradesh,Annupur,40163,1162,1399,38155,35738,6
1,India,20,Madhya Pradesh,Ashoknagar,44168,1588,2414,41959,20806,48
1,India,20,Madhya Pradesh,Balaghat,95825,3107,4114,91034,77299,14
1,India,20,Madhya Pradesh,Barwani,43475,3019,5004,41301,9496,72
1,India,20,Madhya Pradesh,Betul,119956,3594,4813,113959,53580,52
1,India,20,Madhya Pradesh,Bhind,65972,2764,3718,62673,36323,41
1,India,20,Madhya Pradesh,Bhopal,39227,2356,3211,37266,8336,75
1,India,20,Madhya Pradesh,Burhanpur,34077,1147,1422,32373,7446,76
1,India,20,Madhya Pradesh,Chhatarpur,78778,2761,4012,74839,23318,67
1,India,20,Madhya Pradesh,Chhindwara,139607,5274,7194,132627,60477,53
1,India,20,Madhya Pradesh,Damoh,42217,2113,3761,40106,13484,62
1,India,20,Madhya Pradesh,Datia,34756,1248,1928,33018,16492,48
1,India,20,Madhya Pradesh,Dewas,87646,2623,3582,83264,14159,82
1,India,20,Madhya Pradesh,Dhar,103017,5005,6769,97867,15840,82
1,India,20,Madhya Pradesh,Dindori,44853,1384,1714,42611,39040,8
1,India,20,Madhya Pradesh,Guna,78949,2665,3389,75002,32923,55
1,India,20,Madhya Pradesh,Gwalior,52828,1979,3815,50187,26662,43
