State,District,Semi Critical Block,Critical Block,Over Exploited Block
,Neemuch,Jawad,-,Neemuch
,,,-,-
,Ratlam,Sailana,-,Alote
,,-,-,Jaora
,,-,-,Piploda
,,-,-,Ratlam
,Satna,Rampur ,,
,,Baghalan,,-
,Sehore, Astha,-,-
,,Sehore,-,-
,Shajapur,Agar,Barod,Kalapipal
,,Shajapur,-,Mohan Barodia
,,,,Nalkhera
,,,-,Shujalpur
,,-,-,Susner
,Ujjain,Tarana,-,Badnagar
,,Khachrod,-,Ghatia
,,-,-,Ujjain
Maharashtra,Ahmednagar,Kopargaon,-,Rahata
,,Ahmednagar,-,-
,,Newasa,-,-
,,Sangamner,-,-
,,Shrirampur,-,-
,Amravati,,Chandur Bazar,Daryapur
,,,-,Morshi
,,,-,Warud
,,,-,
,Buldhana,Buldhana,-,Jalgaon
,Jalgaon,Chopda,-,Raver
,,Pachora,-,Yawal
,,,-,-
,Latur,Latur,-,-
,,Renapur,-,-
,Nagpur,Katol,,
,,Narkhed,,
,Nashik,Chandwad,-,-
,,Sinnar,-,-
,,Niphad,-,-
,Osmanabad,Osmanabad,-,-
,Pune,Ambegaon,,
,,Baramati,-,-
,,Junnar,,
,,Purandhar,-,-
,Sangli,Miraj,,Kavathe Mahankal
,,Tasgaon,,
,Solapur,Khatav,-,
Punjab,Amritsar,-,-,Ajnala
,,,,Bhikhiwind
,,-,-,Chagawan
,,-,-,Chola Sahib
,,-,-,Gandiwind
,,,,Harsha China
,,,,Jandiala
,,,,Khadur Sahib
,,-,-,Majitha
,,,,Naushehra Panuan
,,,,Patti
,,,,Rayya
,,,,Tarn Taran
,,-,-,Tarsika
,,-,-,Valtoha
,,-,-,Verka
,Bathinda,-,,Mour
,,-,,Nathana
,,-,-,Phul
,,,,Rampura
,Faridkot,-,-,Faridkot
,,-,-,Kot Kapura
,,,,
,Fatehgarh Sahib,-,-,Amloh
,,-,-,Bassi Pathana
,,-,-,Khamanon
,,-,-,Khera
,,-,-,Sirhind
,Ferozepur,,Mamdot,Fazilka
,,,,Ferozpur
,,,,Ghall Khurd
,,,,Guru Har Sahai
,,-,-,Jalalabad
,,,,Makhu
,,-,-,Zira
,Gurdaspur,N.J.Singh,Dhariwal,Batala
,,-,Kalanaur,Dera Baba Nanak
,,-,-,Fatehgarh Churian
,,-,-,Kahnuwan
,,-,-,Qadian
,,-,-,Sri Hargobindpur
,,-,-,Gurdaspur
,Hoshiarpur,Garhsahnkar,-,Hoshiarpur-I
,,Harshankar,-,Tanda
,Jalandhar,-,-,Adampur
,,-,-,Bhogpur
,,-,-,Goraya
,,-,-,Jalandhar-East
,,-,-,Jalandhar-West
,,-,-,Lohian
,,-,-,Nakodar
,,-,-,Nur Mahal
,,-,-,Phillaur
,,-,-,Shahkot
,Kapurthala,-,-,Bholath
,,-,-,Dhilwan
,,-,-,Kapurthala
,,-,-,Phagwara
,,-,-,Sultanpur
,Ludhiana,-,Doraha,Dehlon
,,-,-,Jagraon
,,-,-,Khanna
,,-,-,Ludhiana
,,-,-,Machiwara
,,-,-,Mangat
,,-,-,Pakhowal
,,-,-,Samrala
,,-,-,Sidhwan Bet
,,-,-,Sudhar
,Mansa,-,-,Bhikhi
,,-,-,Budhlada
,,-,-,Jhunir
,,-,-,Mansa
,,-,-,Sardulgarh
,Moga,-,-,Bagha Purana
,,-,-,Dharamkot 
,,-,-,Moga I
,,-,-,Moga II
,,-,-,Nihal Singh Wala
,Nawan Shahr,-,-,Aur
,,-,-,Banga
,,-,-,Nawan Shahr
,Patiala,Dera Bassi,-,Bhuner Heri
,,-,-,Ghanaur
,,-,-,Nabha
,,-,-,Patiala
,,-,-,Rajpura
,,-,-,Samana
,,-,-,Sanaur
,,-,-,Patran
,Ropar,-,Sialba Majri,Chamkaur Sahib
,,-,-,Morinda
