"Country Code","Country","State Code","State","District","Net Groundwater Availability","Projected demand for Domestic and Industrial uses upto 2025","Net Ground Water Availability for Future Irrigation use"
"01","INDIA","21","MAHARASHTRA","CHANDRAPUR","106798.86","16664.04","79733.46"
"01","INDIA","21","MAHARASHTRA","DHULE","70488.53","3520.35","32000.7"
"01","INDIA","21","MAHARASHTRA","GADCHIROLI","88482.71","6261.48","61667.74"
"01","INDIA","21","MAHARASHTRA","GONDIYA","62015.47","11920.06","37794.15"
"01","INDIA","21","MAHARASHTRA","HINGOLI","89869.73","4125.04","49493.51"
"01","INDIA","21","MAHARASHTRA","JALGAON","139554.81","8671.06","32554.95"
"01","INDIA","21","MAHARASHTRA","JALNA","84464.07","2721.5","37971.87"
"01","INDIA","21","MAHARASHTRA","KOLHAPUR","124896.1","2872.08","73365.13"
"01","INDIA","21","MAHARASHTRA","LATUR","67982.1","4085.7","14980.57"
"01","INDIA","21","MAHARASHTRA","NAGPUR","110033.65","11699.78","42551.92"
"01","INDIA","21","MAHARASHTRA","NANDED","133884.3","6618.94","92539.96"
"01","INDIA","21","MAHARASHTRA","NANDURBAR","50276.81","6171.95","21699.26"
"01","INDIA","21","MAHARASHTRA","NASIK","191447.02","6525.52","82424.97"
"01","INDIA","21","MAHARASHTRA","OSMANABAD","92213.34","4447.04","33226.98"
"01","INDIA","21","MAHARASHTRA","PARBHANI","82315.21","4009.9","42891.39"
"01","INDIA","21","MAHARASHTRA","PUNE","174009.35","14444.4","44233.51"
"01","INDIA","21","MAHARASHTRA","RAIGARH","39801.94","4188.16","31418.63"
"01","INDIA","21","MAHARASHTRA","RATNAGIRI","46211.53","2497.02","39520.33"
"01","INDIA","21","MAHARASHTRA","SANGLI","95418.1","5105.76","20936.96"
"01","INDIA","21","MAHARASHTRA","SATARA","99251.6","9820.46","17760.32"
