"Country Code","Country","State Code","State","District","Block","2004Status","2009Status","2011Status","2013Status"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PEDDAPANJANI","SEMI_CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL","CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PENUMUR","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PILERU","SEMI_CRITICAL","CRITICAL","SEMI_CRITICAL","CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PULICHERLA","CRITICAL","CRITICAL","CRITICAL","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PUNGUNURU","SEMI_CRITICAL","CRITICAL","CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PUTHALAPATTU","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PUTTUR","CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","RAMAKUPPAM","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","RAMASAMUDRAM","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","RAMCHANDRAPURAM","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","RENIGUNTA","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","ROMPICHERLA","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","SANTHIPURAM","SEMI_CRITICAL","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","SATYAVEDU","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","SODAM","OVER_EXPLOITED","","","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","SOMALA","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","SRIKALAHASTI","SEMI_CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","SRIRANGARAJAPURAM","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","THAMBALLAPALLE","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","THAVANAMPALLE","OVER_EXPLOITED","CRITICAL","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","THOTTAMBEDU","","SEMI_CRITICAL","","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","TIRUPATHI","","","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","TIRUPATI RURAL","OVER_EXPLOITED","OVER_EXPLOITED","","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","TIRUPATI URBAN","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","VADAMALAPETA","","SEMI_CRITICAL","","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","VARADAYYAPALEM","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","VAYALPAD","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","VEDURUKUPPAM","OVER_EXPLOITED","","","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","VENKATAGIRIKOTA","CRITICAL","","SEMI_CRITICAL","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","VIJAYAPURAM","OVER_EXPLOITED","OVER_EXPLOITED","SEMI_CRITICAL","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","YADAMARI","CRITICAL","CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","YERPEDU","SEMI_CRITICAL","OVER_EXPLOITED","","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","YERRAVARIPALEM","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","ATLUR","SEMI_CRITICAL","SEMI_CRITICAL","","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","B KODURU","OVER_EXPLOITED","","","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","BADVEL","CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","BRAHMAMGARI MATHAM","SEMI_CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","CHAPAD","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","CHEKRAYAPETA","SEMI_CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","CHENNUR","OVER_EXPLOITED","","","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","CHINNAMANDEM","OVER_EXPLOITED","OVER_EXPLOITED","","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","CHINTAKOMMADINNE","SEMI_CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","CHITVEL","OVER_EXPLOITED","","","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","CUDDAPAH","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","DUVVUR","CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","GALIVIDU","SEMI_CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","GOPAVARAM","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CUDDAPAH","JAMMALAMADUGU","SAFE","SAFE","SAFE","SAFE"
