 Andhra Pradesh,,,,,,,,,
,,,,,,8,Raikot,,
,,,,,,9,Samrala,,
,,,,,,10,Sidhwan Bet,,
,,,,,,11,Sudhar,,
13,Mansa,,,1,Jhunir,1,Bhikhi,,
,,,,,,2,Budhlada,,
,,,,,,3,Mansa,,
,,,,,,4,Sardulgarh,,
14,Moga,,,,,1,Bagha Purana,,
,,,,,,2,Dharamkot (Kot Isa Khan),,
,,,,,,3,Moga I,,
,,,,,,4,Moga Ii,,
,,,,,,5,Nihal Singh Wala,,
15,Nawan Shahr,,,1,Nawan Shahr,1,Aur,,
,,,,,,2,Banga,,
17,Patiala,,,,,1,Bhuner Heri,,
,,,,,,2,Ghanaur,,
,,,,,,3,Nabha,,
,,,,,,4,Patiala,,
,,,,,,5,Rajpura,,
,,,,,,6,Samana,,
,,,,,,7,Sanaur,,
,,,,,,8,Patran,,
18,Ropar,1,Anandpur Sahib,,,1,Morinda,,
,,,,,,2,Nurpur Bedi,,
19,SAS NAGAR,,,,,1,Dera Bassi,,
,,,,,,2,Kharar,,
20,Sangrur,,,,,1,Ahmedgarh,,
,,,,,,2,Andana,,
,,,,,,3,Bhiwanigarh,,
,,,,,,4,Dhuri,,
,,,,,,5,Lehraghaga,,
,,,,,,6,Maler Kotla ,,
,,,,,,7,Sangrur,,
,,,,,,8,Sherpur,,
,,,,,,9,Sunam,,
21,Tarn Taran,,,,,1,Bhikhiwind,,
,,,,,,2,Chola Sahib,,
,,,,,,3,Gandiwind,,
,,,,,,4,Khadur Sahib,,
,,,,,,5,Naushehra Panuan,,
,,,,,,6,Patti,,
,,,,,,7,Tarn Taran,,
,,,,,,8,Valtoha,,
  Rajasthan,,,,,,,,,
1,Ajmer,,,,,1,Arain,,
,,,,,,2,Bhinai,,
,,,,,,3,Jawaja,,
,,,,,,4,Kekri,,
,,,,,,5,Kishangarh (Silora),,
,,,,,,6,Masuda,,
,,,,,,7,Peesangan,,
,,,,,,8,Srinagar,,
2,Alwar,,,,,1,Bansur,,
,,,,,,2,Behror,,
,,,,,,3,Kathumar,,
,,,,,,4,Kishangarh Bas,,
,,,,,,5,Kotkasim,,
,,,,,,6,Laxmangarh,,
,,,,,,7,Mandawar,,
,,,,,,8,Neemrana,,
,,,,,,9,Rajgarh,,
,,,,,,10,Ramgarh,,
,,,,,,11,Reni,,
,,,,,,12,Thanagazi,,
,,,,,,13,Tijara,,
,,,,,,14,Umren,,
3,Baran,1,Anta,,,1,Atru,,
,,2,Kishanganj,,,2,Baran,,
,,3,Shahbad,,,3,Chhabra,,
,,,,,,4,Chhipabarod,,
4,Barmer,,,1,Chohtan,1,Baetu,,
,,,,,,2,Balotra,,
,,,,,,3,Dhorimanna,,
,,,,,,4,Sheo,,
,,,,,,5,Sindhari,,
,,,,,,6,Siwana,,
5,Bharatpur,,,1,Deeg,1,Bayana,,
,,,,2,Nagar Pahari,2,Kaman,,
,,,,,,3,Kumher,,
,,,,,,4,Nadbai,,
,,,,,,5,Rupbas,,
,,,,,,6,Sewar,,
,,,,,,7,Weir,,
5,Bhilwara,,,,,1,Asind,,
,,,,,,2,Banera,,
,,,,,,3,Hurda,,
,,,,,,4,Jahazpur,,
,,,,,,5,Kotri,,
,,,,,,6,Mandal,,
,,,,,,7,Mandalgarh,,
,,,,,,8,Raipur,,
,,,,,,9,Sahara,,
,,,,,,10,Shahpura,,
,,,,,,11,Suwana,,
6,Bikaner,,,,,1,Bikaner,1,Khajuwala 
,,,,,,2,Dungargarh,,
,,,,,,3,Nokha,,
7,Bundi,1,Bundi,,,1,Hindoli,,
,,,,,,2,Nainwa,,
8,Chittaurgarh,,,,,1,Bari Sadri,,
,,,,,,2,Begun,,
,,,,,,3,Bhadesar,,
,,,,,,4,Bhainsrogarh,,
,,,,,,5,Bhopalsagar,,
,,,,,,6,Chittaurgarh,,
,,,,,,7,Dungla,,
,,,,,,8,Gangrar,,
,,,,,,9,Kapasan,,
,,,,,,10,Nimbahera,,
,,,,,,11,Rashmi,,
9,Churu,,,,,1,Rajgarh,1,Tara Nagar 
,,,,,,2,Sujangarh,,
,,,,,,,,,
10,Dausa,,,,,1,Bandikui,,
,,,,,,2,Dausa,,
,,,,,,3,Lalsot,,
,,,,,,4,Mahwa,,
,,,,,,5,Sikrai,,
11,DHOLPUR,1,Bari,,,1,Dholpur,,
,,2,Baseri,,,2,Rajakhera,,
12,Dungarpur,1,Simalwara,,,,,,
13,Hanumangarh,,,,,,,1,Rawatsar
14,Jaipur,,,1,Phagi,1,Amer,,
,,,,,,2,Bassi,,
,,,,,,3,Chaksu,,
,,,,,,4,Dudu,,
,,,,,,5,Govindgarh,,
,,,,,,6,Jamwa Ramgarh,,
,,,,,,7,Jhotwara,,
,,,,,,8,Kotputli,,
,,,,,,9,Sambhar,,
,,,,,,10,Sanganer,,
,,,,,,11,Shahpura,,
,,,,,,12,Viratnagar (Bairath),,
15,Jaisalmer,,,,,1,Jaisalmer,,
,,,,,,2,Sam,,
,,,,,,3,Sankra,,
17,Jalor,,,1,Chitalwana,1,Ahore,,
,,,,,,2,Bhinmal,,
,,,,,,3,Jalore,,
,,,,,,4,Jaswantpura,,
,,,,,,5,Raniwara,,
,,,,,,6,Sanchore,,
,,,,,,7,Sayla,,
18,Jhalawar,1,Bakani,,,1,Khanpur,,
,,2,Jhalrapatan,,,,,,
,,3,Manohar Thana,,,,,,
,,4,Pirawa,,,,,,
19,Jhunjhunun,,,,,1,Alsisar,,
,,,,,,2,Buhana,,
,,,,,,3,Chirawa,,
,,,,,,4,Jhunjhunun,,
,,,,,,5,Khetri,,
,,,,,,6,Nawalgarh,,
,,,,,,7,Surajgarh,,
,,,,,,8,Udaipurwati,,
20,Jodhpur,,,,,1,Balesar,,
,,,,,,2,Bawari,,
,,,,,,3,Bhopalgarh,,
,,,,,,4,Bilara,,
