Andhra Pradesh,,,,
2,Aligarh,78988.81,12154.25,11670.63
3,Allahabad,134799.03,20807.63,29337.92
4,Ambedkar Nagar,89573.71,6692,22919.31
5,Amethi,100230.87,6800.1,25409.99
6,Amroha,67006.14,4473.59,0
7,Auraiya,64541.92,4057.7,18567.92
8,Azamgarh,130584.44,20477.28,38900.68
9,Baghpat,51531,3063.95,2505.93
10,Bahraich,107549.28,12950.95,41109.77
11,Ballia,78004.95,12095.51,17955.4
12,Balrampur,84890.83,5583.47,41993.82
13,Banda,69084.87,3925.64,30653.31
14,Barabanki,206682.08,10576.98,61616.79
15,Bareilly,157028.39,9341.86,37987.76
16,Basti,97601.8,7723.08,21744.74
17,Bijnor,130048.09,10807.73,38051.01
18,Budaun,124455.27,10589.69,18902.53
19,Bulandshahar,134034.95,8195.17,14677.86
20,Chandauli,77515.81,5894.83,45577.08
21,Chitrakoot,25618.09,4205.73,8209.93
22,Deoria,101175.13,10006.31,20366.79
23,Etah,63148.32,5637.52,10299.72
24,Etawah,68933.02,3353.12,33143.78
25,Faizabad,83569.89,5400.06,26062.5
26,Farrukhabad,59116.85,5090.03,11451.39
27,Fatehpur,118943.87,7666.29,11525.26
28,Firozabad,69738.73,7143.52,4814.17
29,Ghaziabad,29233.06,9022.51,2621.65
30,G.B. Nagar,41162.88,2936.92,2156.26
31,Ghazipur,122086.63,11861.97,28263.58
32,Gonda,121665.07,9581.83,37180.98
33,Gorakhpur,176256.36,13661.18,74521.15
34,Hamirpur,54550.69,4943.55,18775.25
35,Hapur,38904.26,4051.03,1140.79
36,Hardoi,173662.45,11042.19,46280.95
37,Hathras,58579.92,5471.03,6723.02
38,Jalaun,152565.8,4207.35,99650.98
39,Jaunpur,144306.9,16612.22,19234
40,Jhansi,65633.38,6163.6,21456.65
41,Kannauj,62594.22,4877.89,21900.31
42,Kanpur Dehat,82880.82,5777.97,20182.78
43,Kanpur Nagar,87889.25,26350.86,4805.25
44,Kasganj,51767.26,4206.05,4346.23
45,Kaushambi,51345.31,3500.43,9217.8
46,Kushi Nagar,166494.54,14299.52,81830.27
47,Lakhimpur Khiri,281393.03,16008.45,119591.88
48,Lalitpur ,55464.86,4825.22,19829.51
49,Lucknow,70044.83,20311.32,10144.71
50,Maharajganj,112162.86,10069.32,39151.86
51,Mahoba,17522.13,2674.69,0
52,Mainpuri,91582.96,5280.12,14890.14
53,Mathura,104811.55,6189.57,22239.36
54,Maunath Bhanjan,48296.33,7289.34,11372.45
55,Meerut,114864.56,9992.67,29539.03
56,Mirzapur,61537.28,10388.07,19554.78
57,Moradabad,69092.04,7969.26,5800.72
58,Muzzafarnagar,94377.07,8288.64,31711.26
59,Pilibhit,130315.17,6779.63,42933.98
60,Pratapgarh,152300.19,10294.06,14371.19
61,Raebareli,109327.06,7884.56,39883.25
62,Rampur,72993.11,6679.75,8904.24
63,Saharanpur,134886.4,8804.22,325.72
64,Sambhal,67846.86,6126.3,2964.14
65,Sant Kabeer Nagar,72021.35,5845.7,29325.87
66,Sant Ravidas Nagar,42770.85,6390.42,2034.84
67,Shajahanpur,140269.71,11007.88,51070.45
68,Shamli,42551.16,3457.2,1027.96
69,Shrawasti,43126.12,4315.27,11229.35
70,Siddharth Nagar,122736.04,9387.51,65087.22
71,Sitapur,216778.76,16062.38,67201.21
72,Sonbhadra,21888.93,6705.71,7396.96
73,Sultanpur,106494.24,6914.89,34489.46
74,Unnao,171983.66,11459.29,43100.55
75,Varanasi,48608.31,11497.15,4485.36
Uttarakhand,,,,
1,Dehradun ,36457.92,4060.86,28105.09
2,Haridwar,86130.61,2220.02,43296.36
3,Udham Singh Nagar ,63421.38,23543.76,5965.52
4,Nainital,10600.66,241.48,5063.98
West Bengal,,,,
1,Coochbehar,236661.59,5988.25,188411.84
2,Jalpaiguri,278465.29,5908.97,264315.12
3,Darjeeling,47015.03,2012.74,43833.19
4,Uttar Dinajpur,133514.83,7569.33,47811.9
5,Dakshin Dinajpur,98836.09,3349.33,44780.76
6,Malda,136087.61,9828.37,67150.64
7,Murshidabad,225726.36,17323.82,22215.54
8,Nadia,204737.62,10601.16,14914.26
9,North 24-Parganas,149939.31,19035.91,46378.8
10,Howrah,29661.73,6038.57,18653.16
11,Hooghly,125121.59,10669.27,59850.52
12,Burdwan,236877.76,15762.29,127055.87
13,Birbhum,116573.94,7780.42,72601.72
14,Bankura,161769.1,7362.46,84426.38
15,Purulia,72724.08,6411.97,64079.31
16,Purba Medinipore,73271.26,4341.44,47367.42
17,Paschim Medinipore,328863.5,12907.78,205036.12
Andaman & Nicobar,,,,
1,Andaman & Nicobar,37768.739,1615.437,36138.723
Chandigarh,,,,
1,Chandigarh UT (Ham),1943,0,0
Dadra And Nagar Haveli,,,,
1,UT of Dadra & Nagar Haveli,6341.12,1398.486,4192.178085
Daman & Diu,,,,
