"Country Code","Country","State Code","State","District","Annual Replenishable Ground Water Resource","Domestic & Industrial Water Supply","Projected demand for Domestic and Industrial uses upto 2025","Net Ground Water Availability for Future Irrigation use","Stage of Ground Water Development (%)"
"1","INDIA","16","JHARKHAND","GOODA","15487","2052","2414","7488","45"
"1","INDIA","16","JHARKHAND","GUMLA","42754","1622","2176","27208","28"
"1","INDIA","16","JHARKHAND","HAZARIBAGH","37404","3378","4556","18673","42"
"1","INDIA","16","JHARKHAND","JAMTARA","17888","1401","1888","11251","28"
"1","INDIA","16","JHARKHAND","KHUNTI","16786","724","1166","10213","29"
"1","INDIA","16","JHARKHAND","KODARMA","8182","885","1286","4468","36"
"1","INDIA","16","JHARKHAND","LATEHAR","26703","1006","1520","17325","28"
"1","INDIA","16","JHARKHAND","LOHARDAGA","11176","627","948","5612","41"
"1","INDIA","16","JHARKHAND","PAKUR","15188","1255","1897","11101","15"
"1","INDIA","16","JHARKHAND","PALAMU","39242","2654","3855","22188","34"
"1","INDIA","16","JHARKHAND","RAMGARH","13854","1806","1867","7531","40"
"1","INDIA","16","JHARKHAND","RANCHI","40212","5982","8718","16465","48"
"1","INDIA","16","JHARKHAND","SAHEBGANJ","14535","2113","3159","9112","23"
"1","INDIA","16","JHARKHAND","SARAIKELA","21443","2640","3308","15467","17"
"1","INDIA","16","JHARKHAND","SIMDEGA","30693","1086","1630","19178","29"
"1","INDIA","16","JHARKHAND","PASCHIM SINGHBHUMI","38136","3064","4563","29114","12"
"1","INDIA","17","KARNATAKA","BAGALKOT","43208","3028","3838","10795","91"
"1","INDIA","17","KARNATAKA","BANGALORE RURAL","21391","3239","3240","107","127"
"1","INDIA","17","KARNATAKA","BANGLORE URBAN","13417","5749","5749","0","141"
"1","INDIA","17","KARNATAKA","BELGAUM","114125","6337","8000","31892","78"
"1","INDIA","17","KARNATAKA","BELLARY","72946","3072","4871","37877","42"
"1","INDIA","17","KARNATAKA","BIDAR","32722","1766","2348","13719","57"
"1","INDIA","17","KARNATAKA","BIJAPUR","51446","5006","6070","16071","75"
"1","INDIA","17","KARNATAKA","CHAMARAJANAGAR","37785","1446","1910","10017","80"
"1","INDIA","17","KARNATAKA","CHIKBALLAPUR","32703","2705","2735","1591","145"
"1","INDIA","17","KARNATAKA","CHIKMAGALUR","68630","2235","2604","32580","43"
"1","INDIA","17","KARNATAKA","CHITRADURGA","54852","2941","3557","5998","102"
"1","INDIA","17","KARNATAKA","DAKSHIN KANNADA","51579","2958","3471","10614","69"
"1","INDIA","17","KARNATAKA","DAVANGERE","61215","2800","4236","11840","89"
"1","INDIA","17","KARNATAKA","DHARWAD","27151","917","1524","8549","59"
"1","INDIA","17","KARNATAKA","GADAG","27127","1577","2011","5581","89"
"1","INDIA","17","KARNATAKA","GULBARGA","69295","3374","4609","42025","32"
"1","INDIA","17","KARNATAKA","HASSAN","82020","2347","3486","38414","55"
"1","INDIA","17","KARNATAKA","HAVERI","58188","2680","3734","18465","64"
"1","INDIA","17","KARNATAKA","KODAGU","32328","433","617","21373","21"
"1","INDIA","17","KARNATAKA","KOLAR","33889","1757","1757","0","187"
"1","INDIA","17","KARNATAKA","KOPPAL","60093","1590","2533","31181","43"
"1","INDIA","17","KARNATAKA","MANDHYA","104395","2043","3470","52536","47"
"1","INDIA","17","KARNATAKA","MYSORE","63391","2043","3634","32178","43"
"1","INDIA","17","KARNATAKA","RAICHUR","92116","2207","3483","57628","31"
"1","INDIA","17","KARNATAKA","RAMNAGAR","24087","4527","4779","749","108"
"1","INDIA","17","KARNATAKA","SHIMOGA","108216","1962","2856","66378","27"
"1","INDIA","17","KARNATAKA","TUMKUR","85428","4488","6596","15495","100"
"1","INDIA","17","KARNATAKA","UDUPI","53834","2393","2888","20241","37"
