Country Code,Country,State Code,State,District,2004 Average,2005 Average,2006 Average,2007 Average,2008 Average,2009 Average,2010 Average,2011 Average,2012 Average,2013 Average
1,INDIA,13,HARYANA,PANCHKULA,75.9,67.2,63.1,83.2,48.5,33.3,58.9,52,55.2,59.1
1,INDIA,13,HARYANA,PANIPAT,46.7,46.3,29.4,24.2,35.9,27.2,45.9,28.8,22.7,32.8
1,INDIA,13,HARYANA,REWARI,34.7,52.3,37.8,42,89.8,35.9,56.8,42.3,27,39
1,INDIA,13,HARYANA,ROHTAK,33.4,50.8,36.6,31.4,48.4,33.7,40.5,22,22,21.9
1,INDIA,13,HARYANA,SIRSA,20.5,26.1,36.5,25.5,28.6,10.5,33.1,32.4,17.4,15.3
1,INDIA,13,HARYANA,SONIPAT,50.3,46.3,25.5,25.3,65.9,48.6,63.9,46.5,30.1,48
1,INDIA,13,HARYANA,YAMUNANAGAR,61.8,82.7,53.1,60.7,72.1,62.5,119.5,76.8,57.3,112.5
1,INDIA,14,HIMACHAL PRADESH,BILASPUR,91.7,78.5,112.3,104.2,108.2,85.8,89.1,93.7,84.1,96.9
1,INDIA,14,HIMACHAL PRADESH,CHAMBA,74.2,83.7,101.6,44.4,68.2,35.9,90.6,87.7,92.1,109.2
1,INDIA,14,HIMACHAL PRADESH,HAMIRPUR,107.5,104.4,132.6,118,118.2,96.9,103.9,118.4,121.3,119
1,INDIA,14,HIMACHAL PRADESH,KANGRA,112,122.6,147.2,134.2,150.4,100.8,134.3,156.3,187.5,200.3
1,INDIA,14,HIMACHAL PRADESH,KINNAUR,21.3,53.6,27.8,52.4,61.3,47.7,89.1,48.5,43.6,87.9
1,INDIA,14,HIMACHAL PRADESH,KULLU,76.1,86.8,72.8,70.9,120.5,98.2,145.5,110,107,
1,INDIA,14,HIMACHAL PRADESH,LAHUL&SPITI,,,,,,51.6,67.8,39.3,37.9,42.5
1,INDIA,14,HIMACHAL PRADESH,MANDI,97.5,105.4,105.4,122.7,108.4,80.4,123.6,122.1,120.3,131.1
1,INDIA,14,HIMACHAL PRADESH,SHIMLA,64.9,87.1,100,73.7,103.1,60.6,106.1,76.1,70.8,
1,INDIA,14,HIMACHAL PRADESH,SIRMAUR,101.2,109.5,114.8,106.4,118.5,81.2,158.7,135.4,91.6,
1,INDIA,14,HIMACHAL PRADESH,SOLAN,67.8,79.2,81.2,97.8,124.3,73.5,114.8,75.9,87.6,104.2
1,INDIA,14,HIMACHAL PRADESH,UNA,92.4,101.4,109,103.7,122.6,101,98.5,106,87.4,121.5
1,INDIA,15,JAMMU AND KASHMIR,ANANTNAG,64.7,97.9,100.6,64,79.3,77,97.5,80.4,80.2,78.1
1,INDIA,15,JAMMU AND KASHMIR,BADGAM,,,,,,,66.9,50,40,53.7
1,INDIA,15,JAMMU AND KASHMIR,BANDIPORE,,,,,,,,,,
1,INDIA,15,JAMMU AND KASHMIR,BARAMULA,88,103.8,150.2,76.7,100.3,77.8,111,89.7,82.4,78.5
1,INDIA,15,JAMMU AND KASHMIR,DODA,92.9,133.8,139.6,79.7,79.7,81.3,108.5,89.6,92.7,113.7
1,INDIA,15,JAMMU AND KASHMIR,GANDERWAL,,,,,,,,110.5,113.9,78
1,INDIA,15,JAMMU AND KASHMIR,JAMMU,81.6,80.8,97.1,101.5,93.6,62.2,98.5,120.4,106.5,119.5
1,INDIA,15,JAMMU AND KASHMIR,KARGIL,,,,,,,,1.8,2.4,2.1
1,INDIA,15,JAMMU AND KASHMIR,KATHUA,82.6,101.3,55.5,154.5,113.5,59.4,110.1,93.3,102.8,149.5
1,INDIA,15,JAMMU AND KASHMIR,KISTWAR,,,,,,,,,,
1,INDIA,15,JAMMU AND KASHMIR,KULGAM,,,,,,,,99.8,78.5,66.1
1,INDIA,15,JAMMU AND KASHMIR,KUPWARA,71.1,76.7,55.6,54.3,81.9,76.1,101.3,92.1,96.3,75
1,INDIA,15,JAMMU AND KASHMIR,LEH AND LADAKH,0.6,1.6,70.9,1,2.7,2.4,5,4.8,1.9,4
1,INDIA,15,JAMMU AND KASHMIR,PUNCH,,,,,,,,129.6,152.2,88.2
1,INDIA,15,JAMMU AND KASHMIR,PULWAMA,45.9,55.6,58.5,38.3,38.9,43.5,65,42.4,39.9,43.9
1,INDIA,15,JAMMU AND KASHMIR,RAJAURI,,,,,,,,85.5,76.5,82.8
1,INDIA,15,JAMMU AND KASHMIR,RAMBAN,,,,,,,,110.9,110.8,96.9
1,INDIA,15,JAMMU AND KASHMIR,RIASI,,,,,,,,159.6,164.3,245.1
1,INDIA,15,JAMMU AND KASHMIR,SAMBA,,,,,,,,118.3,96.2,125.1
1,INDIA,15,JAMMU AND KASHMIR,SHOPIAN,,,,,,,,16.3,11.7,57
1,INDIA,15,JAMMU AND KASHMIR,SRINAGAR,50.9,57.9,72.4,37.8,55.8,45.2,67,52.8,47.1,65.5
1,INDIA,15,JAMMU AND KASHMIR,UDHAMPUR,117.8,143.4,171,139.2,140.8,77.3,114.3,84.6,114.5,99.6
1,INDIA,16,JHARKHAND,BOKARO,,,189.4,157.3,241.8,145.8,91.3,120.9,91.4,117.6
1,INDIA,16,JHARKHAND,CHATRA,,,,,,,,165.3,111.9,101.3
1,INDIA,16,JHARKHAND,DEVGARH,,,,,,,,197,144,95.1
1,INDIA,16,JHARKHAND,DHANBAD,107.3,101,137.7,225.2,169.6,142.8,73.3,109.7,95,105.9
1,INDIA,16,JHARKHAND,DUMKA,,,,,,,,240.3,95.5,155.8
1,INDIA,16,JHARKHAND,PURBI SINGHBHUM,112.2,89.3,186.6,167.4,135.7,107.2,51.3,150.9,118.8,154
1,INDIA,16,JHARKHAND,GARHWA,,,,,,,,235.8,73.9,95.9
